"Site ID","Project Name","Location Name","Site Name","AP Site Code",ISP,Province,Municipality,Status,"Created At","Updated At","Created By"
1119,"PICS-PP Phase 2","Basco Central School","Basco Central School",PICS-PPph2-R02-036,PHILCOMSAT,Batanes,Basco,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1096,"PICS-PP Phase 2","Basco Plaza","Basco Plaza",PICS-PPph2-R02-013,PHILCOMSAT,Batanes,Basco,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1125,"PICS-PP Phase 2","Batanes General Comprehensive School","Batanes General Comprehensive School",PICS-PPph2-R02-042,PHILCOMSAT,Batanes,Uyugan,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1106,"PICS-PP Phase 2","Batanes National Science High School","Batanes National Science High School",PICS-PPph2-R02-023,PHILCOMSAT,Batanes,Basco,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1093,"PICS-PP Phase 2","Batanes Provincial Library-PhilPost","Batanes Provincial Library-PhilPost",PICS-PPph2-R02-010,PHILCOMSAT,Batanes,Basco,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1098,"PICS-PP Phase 2","Batanes State College","Batanes State College",PICS-PPph2-R02-015,PHILCOMSAT,Batanes,Basco,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1188,"PICS-PP Phase 2","Bauan Elementary School","Bauan Elementary School",PICS-PPph2-R02-105,PHILCOMSAT,Cagayan,Peñablanca,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1200,"PICS-PP Phase 2","Bayatbat National High School","Bayabat National High School",PICS-PPph2-R02-117,PHILCOMSAT,Cagayan,Amulung,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1201,"PICS-PP Phase 2","Bayabat National High School - La Suerte Ext.","Bayabat National High School - La Suerte Ext.",PICS-PPph2-R02-118,PHILCOMSAT,Cagayan,Amulung,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1320,"PICS-PP Phase 2","Belance Barangay Hall","Belance Barangay Hall",PICS-PPph2-R02-235,PHILCOMSAT,"Nueva Vizcaya","Dupax Del Norte",ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1311,"PICS-PP Phase 2","Bella Luz Barangay hall","Bella Luz Barangay hall",PICS-PPph2-R02-280,PHILCOMSAT,Isabela,"San Mateo",ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1031,"Emergency Procurement","Ayod Integrated School","Beside the building",SINAG-R2-044B,"IT BUSINESS SOLUTIONS",Isabela,Dinapigue,REBATES,"2026-03-10 08:47:48","2026-03-10 08:47:48",5
1101,"PICS-PP Phase 2","BFP Basco","BFP Basco",PICS-PPph2-R02-018,PHILCOMSAT,Batanes,Basco,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1144,"PICS-PP Phase 2","BFP Sabtang","BFP Sabtang",PICS-PPph2-R02-061,PHILCOMSAT,Batanes,Sabtang,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
921,"PICS GIDA via LEO Technology","Bicud Elementary School","Bicud Elementary School Grade 3 Building",GIDA-R2-009B,"We Are IT Philippines Inc.",Cagayan,Lal-lo,ACTIVE,"2026-03-06 11:34:07","2026-03-06 11:34:07",1
920,"PICS GIDA via LEO Technology","Bicud Elementary School","Bicud Elementary School Principal’s Bldg.",GIDA-R2-009A,"We Are IT Philippines Inc.",Cagayan,Lal-lo,ACTIVE,"2026-03-06 11:34:07","2026-03-06 11:34:07",1
1226,"PICS-PP Phase 2","Biga Integrated School","Biga Integrated School",PICS-PPph2-R02-143,PHILCOMSAT,Isabela,"Santo Tomas",ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1339,"PICS-PP Phase 2","Bikibik ES","Bikibik ES",PICS-PPph2-R02-254,PHILCOMSAT,Quirino,Diffun,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1252,"PICS-PP Phase 2","Binatug Elementary School","Binatug Elementary School",PICS-PPph2-R02-169,PHILCOMSAT,Isabela,"San Mariano",ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1321,"PICS-PP Phase 2","Binnuangan Barangay Hall","Binnuangan Barangay Hall",PICS-PPph2-R02-236,PHILCOMSAT,"Nueva Vizcaya","Dupax Del Norte",ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1322,"PICS-PP Phase 2","Biruk Barangay Hall","Biruk Barangay Hall",PICS-PPph2-R02-237,PHILCOMSAT,"Nueva Vizcaya","Dupax Del Sur",ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1236,"PICS-PP Phase 2","Bisag Elementary School","Bisag Elementary School",PICS-PPph2-R02-153,PHILCOMSAT,Isabela,Palanan,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1323,"PICS-PP Phase 2","Biyoy Barangay Hall","Biyoy Barangay Hall",PICS-PPph2-R02-238,PHILCOMSAT,"Nueva Vizcaya",Kasibu,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
918,"PICS GIDA via LEO Technology","Bolos Pt. Elementary School","Bolos Pt. Elementary School DPWH School Bldg.",GIDA-R2-008A,"We Are IT Philippines Inc.",Cagayan,Gattaran,ACTIVE,"2026-03-06 11:34:07","2026-03-06 11:34:07",1
